Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16
Balanced Forces,Acceleration due to gravity (g),Chemical Changes,Concept of Nucleus,Ancient Concept of Atom (Parmanu),Chemical Formula,Bohr's Atomic Model,Anions,Amplitude,Acceleration,Action-Reaction Pairs,Conservation of Mechanical Energy,Circular Motion,Fixed Pulley,Valence Electrons,Atomic Mass,Applications of Ultrasound
Contact Forces,Atomic Mass Unit (amu),Classes of Levers,Concept of Work,Discovery of Electrons (Cathode Ray Experiment),Element Symbols and IUPAC Naming,Dalton's Atomic Theory,Cations,Effect of Humidity on Speed of Sound,Average Speed,Alpha Particles,Energy,First Equation of Motion,Movable Pulley,Valence Shell,Average Atomic Mass,Industrial Applications of Ultrasound
Effects of Force,Atomic Number (Z),Conditions for Echo,Definition of 1 Newton,Discovery of Neutrons (Chadwick),Naming of Simple Ionic Compounds,Dalton's Atomic Theory,Difference Between Isotopes and Isobars,Effect of Temperature on Speed of Sound,Average Velocity,Atomicity,Forms of Energy,Linear Motion,Pulley,Valency,Formula Unit Mass,Ultrasound in Medicine (Ultrasonography)
External Forces,Avogadro's Number (6.022 x 10^23),Displacement,Mole Concept,Discovery of Protons,Octet Rule,Limitation of Rutherford's Model,Ionic Compounds,Frequency,Deceleration (Retardation),Atoms,Mechanical Energy,Newton's First Law of Motion,Pulley System (Block and Tackle),Valency,Law of Conservation of Mass,
Factors Affecting Friction,Bohr-Bury Rules (2n² Rule),Distance,Negative Work,"Isotopes of Hydrogen (Protium, Deuterium, Tritium)",Origin and Sign Convention,Postulates of Bohr's Model,Ions,Human Ear: Structure and Working,Effort and Load,Compressions and Rarefactions,Potential Energy,Newton's Second Law of Motion,,,Molar Mass,
Forces on a System of Objects,"Energy Shells/Levels (K, L, M, N)",Echo,Positive Work,Properties of Electron,Principle of Simple Machines,Rutherford's Nuclear (Planetary) Model,Isobars,Infrasonic Sound,Motion vs. Rest,Covalent Compounds,Work-Energy Theorem,Newton's Third Law of Motion,,,Molecular Mass,
Inertia of Motion,F = ma,Echolocation in Bats and Dolphins,Zero Work,Properties of Neutron,SONAR (Sound Navigation and Ranging),,Isotopes,Laws of Reflection of Sound,Speed,Empty Space in an Atom,,Non-Uniform Circular Motion,,,"Relationship between Mole, Mass, and Number of Particles",
Inertia of Rest,Gravitational Force (F = mg),Electronic Configuration,,Properties of Proton,Simple Machines,,Polyatomic Ions,Loudness,Uniform Acceleration,How Atoms Combine,,Oscillatory Motion,,,,
Internal Forces,Gravitational Potential Energy (PE = mgh),Gold Foil Experiment,,Quantum Mechanical Model (Introduction),Standard Atomic Notation,,Uses of Isotopes,Megaphone and Horn,Uniform vs. Non-Uniform Speed/Velocity,Indivisibility of Atoms,,Relative Motion,,,,
Kinetic Friction,Kinetic Energy (KE = half mv squared),Inclined Plane,,"Subatomic Particles (Electron, Proton, Neutron)",Symbols of Elements,,,Production of Sound,Velocity,Longitudinal Waves,,Relative Velocity,,,,
Law of Inertia,Law of Constant Proportions (Law of Definite Proportions),Lever,,,Working Principle of SONAR,,,Propagation of Sound,,Matter and Its Properties,,Second Equation of Motion,,,,
Net Force,Mass Number (A),Physical Changes,,,Writing Chemical Formulas,,,Quality (Timbre) of Sound,,Molecules,,Third Equation of Motion,,,,
Non-Contact Forces,Measuring Force (Spring Balance),Pitch,,,,,,Range of Hearing,,Molecules of Compounds,,Uniform Circular Motion,,,,
Static Friction,Mechanical Advantage (MA = Load/Effort),Reference Frame,,,,,,Reflection of Sound,,Molecules of Elements,,,,,,
The Concept of Force,Mechanical Advantage of Inclined Plane (MA = Length/Height),Screw,,,,,,Sound Boards (Curved Reflectors),,Radioactivity,,,,,,
The Force of Friction,Number of Neutrons (A - Z),Stethoscope,,,,,,Sound Needs a Medium to Travel,,Reverberation,,,,,,
Unbalanced Forces,Position-Time (x-t) Graph,Thomson's Plum Pudding Model,,,,,,Sound as a Mechanical Wave,,Transverse Waves,,,,,,
,Power (P = W/t),Time Period,,,,,,Speed of Sound in Different Media,,Wavelength,,,,,,
,Principle of Lever (F1 x d1 = F2 x d2),Wedge,,,,,,Ultrasonic Sound,,,,,,,,
,SI Unit of Force (Newton),Wheel and Axle,,,,,,Uses of Multiple Reflection of Sound,,,,,,,,
,SI Unit of Power (Watt),,,,,,,,,,,,,,,
,SI Unit of Work (Joule),,,,,,,,,,,,,,,
,Velocity-Time (v-t) Graph,,,,,,,,,,,,,,,
,Wave Speed Formula (v = f x wavelength),,,,,,,,,,,,,,,
,Work Done by a Constant Force (W = F x s),,,,,,,,,,,,,,,
